epoch;accuracy;beta;ebops;learning_rate;loss;val_accuracy;val_loss
0;0.47785842418670654;1e-06;204820;0.004999999888241291;1.4807947874069214;0.5310361385345459;1.1335870027542114
1;0.5942936539649963;1e-06;204820;0.004999945405870676;1.272233486175537;0.61419278383255;1.0096101760864258
2;0.6348735094070435;1e-06;197268;0.004999781493097544;1.1741951704025269;0.6651505827903748;0.9348339438438416
3;0.676117479801178;1e-06;209556;0.004999509081244469;1.112969160079956;0.6994578242301941;0.8902217745780945
4;0.6880301237106323;1e-06;209544;0.004999126773327589;1.102805495262146;0.6561867594718933;0.9086617827415466
5;0.6921234726905823;1e-06;191522;0.004998635966330767;1.067383050918579;0.7003132700920105;0.8589485287666321
6;0.7130090594291687;1e-06;191168;0.004998035728931427;1.0224454402923584;0.719180703163147;0.8068723678588867
7;0.7215527296066284;1e-06;191389;0.004997326526790857;0.9959703683853149;0.719747006893158;0.8004909753799438
8;0.7230948805809021;1e-06;190958;0.004996508359909058;0.990738034248352;0.7155662775039673;0.810153067111969
9;0.7115768194198608;1e-06;190590;0.004995581228286028;1.0127286911010742;0.7264819145202637;0.7922680974006653
10;0.7269276976585388;1e-06;190136;0.004994545131921768;0.9753252267837524;0.7263011932373047;0.7797932028770447
11;0.727424681186676;1e-06;189069;0.0049934000708162785;0.9707202315330505;0.7299397587776184;0.7728620767593384
12;0.724466860294342;1e-06;188661;0.004992146044969559;0.9741649031639099;0.7277771234512329;0.7817842364311218
13;0.7264201641082764;1e-06;188219;0.004990783520042896;0.9701390266418457;0.7287891507148743;0.7766716480255127
14;0.731778621673584;1e-06;187854;0.004989312030375004;0.9528928995132446;0.7354578375816345;0.7514517307281494
15;0.7328328490257263;1e-06;170360;0.004987732041627169;0.9333432912826538;0.7209578156471252;0.8027628064155579
16;0.7276009321212769;1e-06;169918;0.0049860430881381035;0.9464859962463379;0.7187831401824951;0.795202374458313
17;0.7339382767677307;1e-06;169563;0.004984246101230383;0.9299559593200684;0.7282349467277527;0.7668331861495972
18;0.7366505861282349;1e-06;169129;0.004982340149581432;0.9179643988609314;0.7340843081474304;0.7631548643112183
19;0.7369909882545471;1e-06;168833;0.004980326164513826;0.9201189875602722;0.738204836845398;0.7368776798248291
20;0.7374849319458008;1e-06;168408;0.004978203680366278;0.9194499254226685;0.7090722918510437;0.8188323378562927
21;0.7335978746414185;1e-06;168014;0.004975973162800074;0.9320995211601257;0.7352108359336853;0.7561236619949341
22;0.7407740950584412;1e-06;175460;0.004973634611815214;0.9077050089836121;0.7404518127441406;0.733984112739563
23;0.7388930916786194;1e-06;174847;0.004971188027411699;0.9184114933013916;0.7421807050704956;0.7270139455795288
24;0.7408223152160645;1e-06;174449;0.004968633875250816;0.910749077796936;0.7319939732551575;0.7650195956230164
25;0.7418990731239319;1e-06;157808;0.004965971224009991;0.9002856612205505;0.7442349195480347;0.7318601012229919
26;0.7425963878631592;1e-06;156942;0.004963201470673084;0.8928864598274231;0.737301230430603;0.7377898097038269
27;0.7420979142189026;1e-06;156461;0.00496032414957881;0.8926169872283936;0.7404698729515076;0.7456507682800293
28;0.7451144456863403;1e-06;156042;0.004957339260727167;0.881111741065979;0.7419518232345581;0.7452577948570251
29;0.7428494095802307;1e-06;155719;0.004954247269779444;0.8856613039970398;0.7404758930206299;0.7384000420570374
30;0.7448795437812805;1e-06;155222;0.00495104817673564;0.8792653679847717;0.7460602521896362;0.7200989127159119
31;0.7470587491989136;1e-06;154983;0.004947741981595755;0.870355486869812;0.7453494071960449;0.7196429371833801
32;0.7485256195068359;1e-06;154653;0.004944328684359789;0.8653100728988647;0.746698796749115;0.7155824303627014
33;0.7473659515380859;1e-06;154101;0.00494080875068903;0.8680382966995239;0.7425240874290466;0.7250272035598755
34;0.747704803943634;1e-06;153786;0.004937182646244764;0.8671957850456238;0.7471024394035339;0.7103701829910278
35;0.7479337453842163;1e-06;153379;0.0049334499053657055;0.8651331663131714;0.7464638352394104;0.7147407531738281
36;0.7458659410476685;1e-06;141423;0.0049296109937131405;0.8649099469184875;0.7437168955802917;0.7237024903297424
37;0.7457665801048279;1e-06;141010;0.004925665911287069;0.8580079078674316;0.7476385831832886;0.7059594988822937
38;0.7484562993049622;1e-06;136301;0.004921615123748779;0.8495014905929565;0.7470722794532776;0.7164523005485535
39;0.7488027215003967;1e-06;139811;0.004917458165436983;0.8469597101211548;0.7483012080192566;0.7101160287857056
40;0.746518075466156;1e-06;139613;0.004913196433335543;0.8537275195121765;0.7465421557426453;0.7170976400375366
41;0.7475572228431702;1e-06;135297;0.004908828530460596;0.847881019115448;0.7474517822265625;0.7098017334938049
42;0.7470903396606445;1e-06;139109;0.0049043563194572926;0.8494949340820312;0.7468252778053284;0.7099523544311523
43;0.7483840584754944;1e-06;138785;0.00489977840334177;0.845084547996521;0.7305120229721069;0.7619803547859192
44;0.7465903759002686;1e-06;134430;0.004895096179097891;0.8519590497016907;0.7472650408744812;0.7106397747993469
45;0.7502545118331909;1e-06;138145;0.004890309181064367;0.8408054113388062;0.7461626529693604;0.7099819183349609
46;0.7480481863021851;1e-06;137903;0.004885417874902487;0.847861647605896;0.7464036345481873;0.7142730355262756
47;0.7485331296920776;1e-06;129661;0.004880422726273537;0.8414640426635742;0.7470481991767883;0.7096521854400635
48;0.7510165572166443;1e-06;126019;0.00487532326951623;0.8261767625808716;0.7490421533584595;0.7107914686203003
49;0.7480452060699463;1e-06;124976;0.00487012043595314;0.835737407207489;0.7469518184661865;0.7133768200874329
50;0.7509247064590454;1e-06;128749;0.004864814225584269;0.8289614915847778;0.745855450630188;0.7242871522903442
51;0.7512183785438538;1e-06;124467;0.004859404172748327;0.8278540372848511;0.7481445670127869;0.7035361528396606
52;0.751808762550354;1e-06;124198;0.004853891674429178;0.8246575593948364;0.74947589635849;0.7008190751075745
53;0.7522876262664795;1e-06;123826;0.004848276264965534;0.8210175037384033;0.7487289309501648;0.7029011845588684
54;0.7501897811889648;1e-06;123627;0.0048425584100186825;0.8268537521362305;0.7499216794967651;0.6974122524261475
55;0.7511746883392334;1e-06;123293;0.004836738109588623;0.8253646492958069;0.7466505765914917;0.7068186402320862
56;0.7510195970535278;1e-06;123013;0.0048308162949979305;0.8239499926567078;0.7507771253585815;0.6972807049751282
57;0.752016544342041;1e-06;122812;0.004824792500585318;0.8221482634544373;0.7497349381446838;0.7008098363876343
58;0.7532349228858948;1e-06;122498;0.004818667192012072;0.8183982372283936;0.7507891654968262;0.7006434202194214
59;0.7517228722572327;1e-06;122451;0.0048124403692781925;0.8207319974899292;0.7480241060256958;0.702202558517456
60;0.7509487867355347;1e-06;122085;0.004806112963706255;0.823857307434082;0.7374156713485718;0.7283608913421631
61;0.7491174936294556;1e-06;115616;0.004799684975296259;0.8251317739486694;0.7419939637184143;0.7221519947052002
62;0.748396098613739;1e-06;111483;0.004793156404048204;0.8220440745353699;0.74969881772995;0.6992132663726807
63;0.7472635507583618;1e-06;115357;0.004786527715623379;0.8226088881492615;0.7488855719566345;0.702467143535614
64;0.7492349147796631;1e-06;111143;0.004779799375683069;0.8158192038536072;0.7490301132202148;0.7014341354370117
65;0.750356912612915;1e-06;114977;0.004772971384227276;0.8150830268859863;0.7463433742523193;0.7075714468955994
66;0.7500406503677368;1e-06;111331;0.004766044206917286;0.8159474730491638;0.7470903396606445;0.7076754570007324
67;0.7517439723014832;1e-06;115142;0.004759018309414387;0.8111001253128052;0.7446746826171875;0.7155683636665344
68;0.7501867413520813;1e-06;110493;0.004751893691718578;0.815958559513092;0.7489156723022461;0.7039369940757751
69;0.7525150775909424;1e-06;114866;0.004744670353829861;0.8077197074890137;0.7521806955337524;0.6931397914886475
70;0.7526234984397888;1e-06;110034;0.004737349692732096;0.8062258958816528;0.7499036192893982;0.7087665796279907
71;0.7520782947540283;1e-06;113907;0.004729931242763996;0.8088468313217163;0.750686764717102;0.7003028988838196
72;0.753533124923706;1e-06;109095;0.004722415469586849;0.8028333783149719;0.7520120739936829;0.694339394569397
73;0.7527981996536255;1e-06;113510;0.004714802373200655;0.8056198358535767;0.7519879341125488;0.6951601505279541
74;0.7532620429992676;1e-06;109413;0.004707092884927988;0.8039387464523315;0.7511686682701111;0.6959719061851501
75;0.7531882524490356;1e-06;112675;0.004699287004768848;0.8049426674842834;0.7516927719116211;0.6987441182136536
76;0.752939760684967;1e-06;115297;0.004691385198384523;0.805358350276947;0.7526927590370178;0.6926501989364624
77;0.7536927461624146;1e-06;115170;0.004683387465775013;0.803142249584198;0.7535903453826904;0.6886190176010132
78;0.7536219954490662;1e-06;108827;0.004675294738262892;0.8010784983634949;0.7514216899871826;0.6977072954177856
79;0.7528132796287537;1e-06;112512;0.00466710701584816;0.8045589327812195;0.7500602602958679;0.6979368925094604
80;0.7533720135688782;1e-06;112464;0.004658824764192104;0.8022744655609131;0.752415657043457;0.6907735466957092
81;0.7537936568260193;1e-06;108304;0.004650448448956013;0.8006083369255066;0.7505964040756226;0.6935241222381592
82;0.7531791925430298;1e-06;111551;0.004641978070139885;0.8011306524276733;0.7516807317733765;0.6913723349571228
83;0.7540029883384705;1e-06;118788;0.004633414093405008;0.7993034720420837;0.7504578232765198;0.6957442760467529
84;0.7548192739486694;1e-06;111761;0.0046247574500739574;0.7975808382034302;0.753463864326477;0.690217137336731
85;0.755373477935791;1e-06;107018;0.004616007674485445;0.7959231734275818;0.7502650618553162;0.6998504400253296
86;0.7540165781974792;1e-06;107378;0.004607165697962046;0.7988953590393066;0.7553433775901794;0.6858373284339905
87;0.7548779845237732;1e-06;107263;0.004598231520503759;0.7973827123641968;0.7547711133956909;0.6858587861061096
88;0.7557228803634644;1e-06;107109;0.004589206073433161;0.7943995594978333;0.7529156804084778;0.6945540308952332
89;0.754947304725647;1e-06;110958;0.00458008935675025;0.7983592748641968;0.749837338924408;0.7012642025947571
90;0.7541882395744324;1e-06;106196;0.004570881836116314;0.8000438809394836;0.7529457807540894;0.6914771199226379
91;0.7560451626777649;1e-06;105909;0.00456158397719264;0.7934483289718628;0.7535602450370789;0.6876106262207031
92;0.7559563517570496;1e-06;109790;0.004552196245640516;0.7936906814575195;0.7516144514083862;0.6920962333679199
93;0.7533403635025024;1e-06;109530;0.004542719107121229;0.8003147840499878;0.749656617641449;0.7053282856941223
94;0.7543975710868835;1e-06;110046;0.004533152561634779;0.7963643670082092;0.7534698843955994;0.6883014440536499
95;0.7560797929763794;1e-06;109864;0.00452349754050374;0.7920771837234497;0.7531024217605591;0.6880440711975098
96;0.7559096217155457;1e-06;105712;0.004513754043728113;0.7933896780014038;0.7513614296913147;0.6951119899749756
97;0.7567680478096008;1e-06;108958;0.004503922536969185;0.7904520630836487;0.7529698610305786;0.6903671026229858
98;0.7555150389671326;1e-06;108799;0.00449400395154953;0.7913264036178589;0.7573313117027283;0.6803752779960632
99;0.7556581497192383;1e-06;104727;0.004483997821807861;0.7914129495620728;0.7549578547477722;0.6866386532783508
100;0.7565436959266663;1e-06;108459;0.004473905544728041;0.7890162467956543;0.7508192658424377;0.6990214586257935
101;0.7560737729072571;1.0014107401342753e-06;104339;0.004463727120310068;0.7911825776100159;0.7509939670562744;0.6952083706855774
102;0.7567108273506165;1.002823470456277e-06;108758;0.004453463014215231;0.789264976978302;0.7556084394454956;0.6813777685165405
103;0.7563508749008179;1.0042381937736428e-06;108561;0.0044431136921048164;0.7902053594589233;0.748590350151062;0.700660765171051
104;0.7552545070648193;1.0056549128979715e-06;107862;0.004432679153978825;0.7945009469985962;0.7534698843955994;0.6922693848609924
105;0.7559728622436523;1.0070736306448277e-06;104248;0.004422160796821117;0.7906258702278137;0.7543313503265381;0.6885817050933838
106;0.7563358545303345;1.0084943498337486e-06;113873;0.004411558620631695;0.7908497452735901;0.7547891736030579;0.6851314306259155
107;0.7559427618980408;1.009917073288249e-06;107273;0.004400872625410557;0.7931330800056458;0.7563734650611877;0.6811403632164001
108;0.7571250200271606;1.0113418038358266e-06;107164;0.004390103742480278;0.7875393629074097;0.7546988129615784;0.6896165013313293
109;0.7556777000427246;1.0127685443079682e-06;106899;0.004379252903163433;0.7941827178001404;0.7508072257041931;0.7057774662971497
110;0.7545225620269775;1.014197297540155e-06;102749;0.004368319641798735;0.7955833077430725;0.7469518184661865;0.7089766263961792
111;0.7563418745994568;1.0156280663718684e-06;102724;0.004357304889708757;0.79100102186203;0.7548855543136597;0.6856098175048828
112;0.7558915615081787;1.0170608536465957e-06;102568;0.004346209112554789;0.7904091477394104;0.7526445984840393;0.6922171711921692
113;0.7572078108787537;1.0184956622118351e-06;106286;0.0043350327759981155;0.7863786220550537;0.7551023960113525;0.6809655427932739
114;0.7580406665802002;1.0199324949191026e-06;102140;0.004323776811361313;0.7847020030021667;0.7536987662315369;0.683914840221405
115;0.7572274208068848;1.0213713546239365e-06;102584;0.004312440752983093;0.7861185073852539;0.7540000081062317;0.6916971206665039
116;0.7577229142189026;1.0228122441859035e-06;102408;0.004301025997847319;0.7854217290878296;0.7555662393569946;0.6850916743278503
117;0.7575406432151794;1.0242551664686048e-06;105662;0.004289532545953989;0.7852560877799988;0.7560301423072815;0.6809504628181458
118;0.7581837177276611;1.0257001243396808e-06;105541;0.004277960862964392;0.7843424677848816;0.7549337148666382;0.684323251247406
119;0.7576792240142822;1.027147120670818e-06;105248;0.004266311880201101;0.7849753499031067;0.7567470073699951;0.6774550676345825
120;0.757362961769104;1.0285961583377536e-06;105124;0.004254585597664118;0.7861971259117126;0.7549638748168945;0.6829685568809509
121;0.7581837177276611;1.030047240220282e-06;104907;0.004242782946676016;0.7833258509635925;0.7572469711303711;0.681313157081604
122;0.7582017779350281;1.0315003692022604e-06;104699;0.004230904392898083;0.7853987216949463;0.7519397735595703;0.6932633519172668
123;0.7578900456428528;1.0329555481716137e-06;104452;0.004218950401991606;0.7850409746170044;0.7561023831367493;0.6828961968421936
124;0.7579352259635925;1.0344127800203417e-06;104346;0.004206920973956585;0.783280074596405;0.75607830286026;0.678487241268158
125;0.7581445574760437;1.0358720676445236e-06;104183;0.004194817505776882;0.7837275862693787;0.7574156522750854;0.6784382462501526
126;0.7576400637626648;1.0373334139443246e-06;100768;0.0041826399974524975;0.7846231460571289;0.7571566104888916;0.6774070262908936
127;0.7579292058944702;1.0387968218240006e-06;103824;0.004170388914644718;0.7844148874282837;0.7543554306030273;0.6861087679862976
128;0.7582379579544067;1.0402622941919053e-06;104184;0.004158065188676119;0.7814112305641174;0.7541024088859558;0.6911237239837646
129;0.7576114535331726;1.0417298339604952e-06;103909;0.004145669285207987;0.7866764068603516;0.7568855285644531;0.6802304983139038
130;0.7576370239257812;1.0431994440463352e-06;100107;0.004133201669901609;0.7871399521827698;0.7575722932815552;0.678578794002533
131;0.7584593296051025;1.044671127370105e-06;103889;0.004120662342756987;0.7827059030532837;0.7566264867782593;0.6818390488624573
132;0.7587243914604187;1.0461448868566044e-06;103679;0.00410805270075798;0.7837948799133301;0.7563132643699646;0.681586742401123
133;0.7583659887313843;1.04762072543476e-06;99568;0.004095372743904591;0.7842292785644531;0.753644585609436;0.6845359802246094
134;0.7578418850898743;1.0490986460376294e-06;103366;0.004082623403519392;0.7844881415367126;0.7583072185516357;0.6742416024208069
135;0.7594066262245178;1.0505786516024085e-06;103170;0.004069805145263672;0.7792569398880005;0.7569698691368103;0.678684651851654
136;0.7595512270927429;1.0520607450704368e-06;99083;0.00405691796913743;0.7789120674133301;0.7575783133506775;0.6760812401771545
137;0.759009063243866;1.053544929387203e-06;98965;0.004043963272124529;0.7806561589241028;0.7567650675773621;0.6789742708206177
138;0.7591099143028259;1.055031207502352e-06;98221;0.004030941519886255;0.7806903719902039;0.7568313479423523;0.6783640384674072
139;0.7594668865203857;1.0565195823696884e-06;102433;0.004017852246761322;0.7787265181541443;0.75712651014328;0.6754999756813049
140;0.7579668760299683;1.0580100569471852e-06;102229;0.004004697315394878;0.7827125191688538;0.7562770843505859;0.6794713735580444
141;0.7584066390991211;1.0595026341969875e-06;101627;0.003991476725786924;0.7836333513259888;0.7562168836593628;0.6818886399269104
142;0.7589036226272583;1.0609973170854197e-06;101380;0.0039781914092600346;0.780631422996521;0.7534156441688538;0.6918380260467529
143;0.7590662837028503;1.0624941085829903e-06;101258;0.003964841365814209;0.7808469533920288;0.7576927542686462;0.6775553226470947
144;0.7583780288696289;1.0639930116643994e-06;97269;0.003951427061110735;0.783586859703064;0.7571505904197693;0.6772661209106445
145;0.7577695846557617;1.0654940293085428e-06;97217;0.003937949892133474;0.784591555595398;0.7557951807975769;0.6817001104354858
146;0.7578268051147461;1.066997164498519e-06;101887;0.0039244103245437145;0.7852590084075928;0.7581565976142883;0.6750940084457397
147;0.7584879398345947;1.068502420221635e-06;101193;0.0039108083583414555;0.7828740477561951;0.7573192715644836;0.6816998720169067
148;0.7587469816207886;1.0700097994694119e-06;101026;0.003897144692018628;0.780894935131073;0.7578253149986267;0.6753202080726624
149;0.759147584438324;1.0715193052375913e-06;97054;0.003883420256897807;0.7799912095069885;0.7551023960113525;0.6840628981590271
150;0.7587032914161682;1.0730309405261406e-06;100712;0.0038696357514709234;0.7820624709129333;0.7556565999984741;0.6840707659721375
151;0.7594638466835022;1.07454470833926e-06;100460;0.0038557914085686207;0.7800537347793579;0.7583674788475037;0.6734325289726257
152;0.7595301270484924;1.0760606116853874e-06;100853;0.00384188792668283;0.7801174521446228;0.7565542459487915;0.6804646849632263
153;0.7592605352401733;1.0775786535772047e-06;100155;0.003827926004305482;0.7795770168304443;0.7571988105773926;0.6788172125816345
154;0.7595948576927185;1.0790988370316446e-06;100163;0.003813906107097864;0.7787129282951355;0.7537349462509155;0.6820389032363892
155;0.7596988081932068;1.080621165069895e-06;99856;0.003799829166382551;0.7787190079689026;0.7560542225837708;0.683268666267395
156;0.759078323841095;1.0821456407174061e-06;99647;0.0037856954149901867;0.7799460291862488;0.7533795237541199;0.6866254806518555
157;0.7577530145645142;1.0836722670038974e-06;95812;0.0037715057842433453;0.7837746143341064;0.7569337487220764;0.6770731210708618
158;0.7602063417434692;1.0852010469633608e-06;95671;0.0037572605069726706;0.7776236534118652;0.7554036378860474;0.6827497482299805
