epoch;accuracy;beta;ebops;learning_rate;loss;val_accuracy;val_loss
0;0.5407835245132446;1e-06;977010;0.004999999888241291;2.0552961826324463;0.608049213886261;0.7550913691520691
1;0.6519842147827148;1e-06;695525;0.004999883472919464;1.5823769569396973;0.6435838341712952;0.696732759475708
2;0.6839653849601746;1e-06;536000;0.004999533761292696;1.2886695861816406;0.7132342457771301;0.6355617642402649
3;0.705331563949585;1e-06;447976;0.004998950753360987;1.1225303411483765;0.7120237350463867;0.6596343517303467
4;0.7001189589500427;1e-06;386398;0.004998135380446911;1.0670286417007446;0.6964850425720215;0.675792932510376
5;0.7079209685325623;1e-06;336215;0.0049970862455666065;1.0106072425842285;0.7229864597320557;0.6170910596847534
6;0.7108060121536255;1e-06;299801;0.004995804745703936;0.9518308043479919;0.7026273608207703;0.6405637264251709
7;0.7038738131523132;1e-06;260189;0.004994290415197611;0.922232449054718;0.7180885672569275;0.6349522471427917
8;0.7150740623474121;1e-06;229430;0.004992543254047632;0.882818877696991;0.7279667258262634;0.6249411702156067
9;0.7211970090866089;1e-06;206245;0.004990564193576574;0.8400033712387085;0.6973081827163696;0.6840786933898926
10;0.7216664552688599;1e-06;184965;0.0049883523024618626;0.818498969078064;0.7252042293548584;0.6077987551689148
11;0.732184886932373;1e-06;174412;0.0049859085120260715;0.7831414341926575;0.7419437766075134;0.5839980840682983
12;0.7230909466743469;1e-06;157872;0.004983233287930489;0.777712881565094;0.7285598516464233;0.6088336110115051
13;0.7322039604187012;1e-06;131947;0.004980326164513826;0.7513813376426697;0.7334166169166565;0.6039810180664062
14;0.725465714931488;1e-06;130919;0.004977187607437372;0.7591224908828735;0.7341163158416748;0.6046621203422546
15;0.7283689379692078;1e-06;129380;0.004973818548023701;0.7365840077400208;0.719921350479126;0.6574059128761292
16;0.7310279011726379;1e-06;120901;0.004970218520611525;0.7338091135025024;0.7347434163093567;0.5973270535469055
17;0.7304208278656006;1e-06;118207;0.004966387990862131;0.7238672971725464;0.7414135336875916;0.5862159729003906
18;0.7359986901283264;1e-06;108964;0.004962327424436808;0.707220733165741;0.7384017109870911;0.6094375252723694
19;0.7299175262451172;1e-06;102715;0.004958037752658129;0.7100607752799988;0.7406145930290222;0.5780249238014221
20;0.7333999872207642;1e-06;98112;0.004953518509864807;0.6980921030044556;0.7408978343009949;0.5813284516334534
21;0.7347915172576904;1e-06;95859;0.004948770627379417;0.6920798420906067;0.7449967861175537;0.5762617588043213
22;0.7397605180740356;1e-06;85723;0.00494379410520196;0.6786972284317017;0.7397429943084717;0.594874382019043
23;0.737201988697052;1e-06;86617;0.004938589874655008;0.675028920173645;0.7418057322502136;0.5815412402153015
24;0.7357281446456909;1e-06;82429;0.004933158401399851;0.6789156198501587;0.7502288222312927;0.568759560585022
25;0.7347418665885925;1e-06;79015;0.004927499685436487;0.6764500737190247;0.7328307032585144;0.5805878639221191
26;0.7403143048286438;1e-06;77153;0.004921615123748779;0.6633022427558899;0.7424013614654541;0.5849195122718811
27;0.7359151840209961;1e-06;76277;0.00491550425067544;0.6641662120819092;0.7433601021766663;0.5826306939125061
28;0.7354491353034973;1e-06;72528;0.004909168463200331;0.6635972261428833;0.7490472793579102;0.5648908019065857
29;0.7373587489128113;1e-06;71977;0.004902607761323452;0.6571958065032959;0.7423626184463501;0.5833946466445923
30;0.7407954931259155;1e-06;67970;0.0048958235420286655;0.6551513075828552;0.7458296418190002;0.570091962814331
31;0.7390235662460327;1e-06;66722;0.004888815339654684;0.6543582081794739;0.7487252950668335;0.5730142593383789
32;0.7363918423652649;1e-06;65803;0.0048815845511853695;0.654570996761322;0.7501828074455261;0.5624837875366211
33;0.7408052086830139;1e-06;62824;0.004874132107943296;0.650183916091919;0.7489795088768005;0.5657418966293335
34;0.7404614090919495;1e-06;62968;0.004866457544267178;0.6478614807128906;0.7376947402954102;0.5891290903091431
35;0.7379143834114075;1e-06;59862;0.0048585631884634495;0.6449587941169739;0.7435102462768555;0.5758998990058899
36;0.7372722029685974;1e-06;55882;0.0048504481092095375;0.6456671357154846;0.7475026249885559;0.5842143893241882
37;0.7364642024040222;1e-06;57194;0.004842114169150591;0.6446554660797119;0.7488269805908203;0.5620868802070618
38;0.739277184009552;1e-06;55889;0.004833562299609184;0.6398268342018127;0.7390214800834656;0.5989714860916138
39;0.7447664141654968;1e-06;55215;0.004824792500585318;0.6292440891265869;0.7313973903656006;0.5934444665908813
40;0.7387481927871704;1e-06;55417;0.0048158057034015656;0.6384412050247192;0.7291021943092346;0.5984007120132446
41;0.7374232411384583;1e-06;53236;0.00480660330504179;0.6363420486450195;0.7504079341888428;0.5596414804458618
42;0.7433866858482361;1e-06;51839;0.004797185771167278;0.6258801221847534;0.7463186979293823;0.5665251612663269
43;0.7413021326065063;1e-06;47921;0.004787554033100605;0.6296136379241943;0.7519937753677368;0.5607976913452148
44;0.7397762537002563;1e-06;49812;0.004777709022164345;0.6361794471740723;0.738111138343811;0.5917880535125732
45;0.7369254231452942;1e-06;48432;0.004767651669681072;0.6362982988357544;0.739050567150116;0.5844845175743103
46;0.736943244934082;1e-06;47690;0.004757382906973362;0.6339042782783508;0.7447522282600403;0.5725564360618591
47;0.7359288334846497;1e-06;48550;0.004746903665363789;0.6349154710769653;0.7362856268882751;0.5898157954216003
48;0.7427938580513;1e-06;48713;0.004736214876174927;0.6250085234642029;0.7507808208465576;0.5631122589111328
49;0.7400004863739014;1e-06;47591;0.004725317470729351;0.6280542612075806;0.7471128106117249;0.5646088123321533
50;0.7405815720558167;1e-06;46593;0.004714212846010923;0.6274611353874207;0.7236159443855286;0.596843957901001
51;0.7410046458244324;1.0035487204557384e-06;46157;0.004702901467680931;0.6233528256416321;0.7464591264724731;0.5741191506385803
52;0.7455272674560547;1.00711003432835e-06;45671;0.004691385198384523;0.6165475249290466;0.7509841918945312;0.565887987613678
53;0.7457097172737122;1.0106839863083505e-06;46012;0.004679664503782988;0.6207387447357178;0.7487930655479431;0.5668588876724243
54;0.7436908483505249;1.0142706212448501e-06;45274;0.004667740315198898;0.62164705991745;0.749599277973175;0.5897358059883118
