File Name,Identificator,Dataset,Type,Acc,%,HW Acc,%,Execution time [ms],Inference / s,EBOP,Build time,Latency,HLS LUTs TOTAL,HLS LUTs CORE,FINAL LUTS,HLS FF TOTAL,HLS FF CORE,FINAL FF,HLS DSP TOTAL,FINAL DSP,HLS BRAM TOTAL,HLS BRAM CORE,BRAM FINAL,Note
"model_baseline_acc=0,7811",Pixsplit Baseline with softmax,Pix,"baseline(Vitis), latency",0.7811,78.11%,not tested,,,,,2 hrs 10m21s,545 cc / 2725 ns,1978018,1978018,FAIL,389586,389586,FAIL,12617,12617,2,2,,"Failed to synthesize Vitis Unified. Synthesized with Vitis instead, meaning no bitfile and final resource usage"
"model_Training_AdaptiveHP_acc=0,7573_ebops=11698",Pixsplit HGQ2 (11698),Pix,"HGQ2, latency",0.7573,75.73%,0.7578577066,75.79%,1.891,"218,464,957.58",11698,21m40s,24 cc / 120 ns,77564,35662,29016,14512,6052,21212,2,2,62,0,17.5,
"model_Training_AdaptiveHP_acc=0,7449_ebops=3640",Pixsplit HGQ2 (3640),Pix,"HGQ2, DA",0.7449,74.49%,0.6751889675,67.52%,0.547,"754,598,472.91",3640,20m20s,21 cc / 105 ns,60965,19074,23787,12527,4072,18533,0,0,59,0,16,
"model_Training_AdaptiveHP_acc=0,7084_ebops=865",Pixsplit HGQ2 (864),Pix,"HGQ2, latency",0.7084,70.84%,0.4517109972,45.17%,1.022,"404,214,049.26",864,19m10s,19 cc / 95 ns,54845,13309,16559,11683,3238,16407,0,0,59,0,12,
"model_Training_FixedHP_acc=0,9707_ebops=52735",MNIST FixedHP (52735),MNIST,"HGQ2, latency",0.9707,97.07%,Not tested,,,,52735,11m50s,1580cc / 7.900e+03 ns,55985,48712,21858,11828,8569,20563,0,0,59,39,14,Not tested
"model_Training_AdaptiveHP_acc=0,9578_ebops=34304",MNIST AdaptiveHP (34304),MNIST,"HGQ2, latency",0.9578,95.78%,0.73,73.00%,1.501,"199,838.13",34304,7m50s,1580cc / 7.900e+03 ns,38608,31385,16855,9272,5981,17921,0,0,46,35,12,"Issue with loading in data; stopped making predictions, giving only zero-vectors, after 100-200 processed elements"
"model_Training_AdaptiveHP_acc=0,7084_ebops=864",Pixsplit HGQ2 (864) DA,Pix,"HGQ2, DA",0.7084,70.84%,0.4439997676,44.40%,1.157,"357,002,155.16",864,19m10s,19 cc / 95 ns,54845,13309,16559,11683,3238,16407,0,0,59,0,12,
"model_Training_AdaptiveHP_acc=0,7573_ebops=11699",Pixsplit HGQ2 (11698) DA,Pix,"HGQ2, DA",0.7573,75.73%,0.5174682956,51.75%,1.07,"386,052,771.60",11698,1 hrs 57m51s,,,,29016,,,,,,,,17.5,
"model_the_baseline_acc=0,7685","Jet-tagger Baseline, with softmax",JET,"Baseline, with softmax",0.7685,76.85%,not tested,,,,,Failed to complete,1067 cc / 5335 ns,145641,131834,FAIL,34039,29814,FAIL,3478,3478,24,2,FAIL,
"model_the_baseline_acc=0,7685","Jet-tagger Baseline, without softmax",JET,"Baseline, without softmax",0.7685,76.85%,not tested,,,,,22m20s,20 cc / 100ns,144265,,,33946,,,3454,,35,,,Out of resources
"model_Training_FixedHP_acc=0,7659_ebops=21624",Jet-tagger HGQ2 (21624),JET,"HGQ2, latency",0.7659,76.59%,0.7658674699,76.59%,0.84,"197,513,707.09",21624,12m45s,20 cc / 100 ns,60913,46268,28159,11322,6882,21814,10,10,26,0,7.5,
"model_Training_FixedHP_acc=0,7659_ebops=21624",Jet-tagger HGQ2 (21624) DA,JET,"HGQ2, DA",0.7659,76.59%,0.7658674699,76.59%,1.249,"132,892,280.27",21624,,,,,28159,,,,,,,,7.5,
"model_Training_FixedHP_acc=0,7590_ebops=11634",Jet-tagger HGQ2 (11634),JET,"HGQ2, latency",0.759,75.90%,Not tested,,,,11634,11m35s,17 cc / 85 ns,43033,28423,21018,8805,4374,19072,15,15,26,0,7.5,
"model_Training_FixedHP_acc=0,7590_ebops=11635",Jet-tagger HGQ2 (11634) DA,JET,"HGQ2, DA",0.759,75.90%,0.7590481928,75.90%,1.258,"131,986,750.56",11634,,,,,21018,,,,,,,,7.5,
"model_Training_AdaptiveHP_acc=0,7512_ebops=2895",Jet-tagger HGQ2 (2895),JET,"HGQ2, latency",0.7512,75.12%,Not tested,,,,2895,9m30s,17 cc / 85 ns,26400,11863,13982,7258,2861,16820,0,0,22,0,8,
