File Name,Identificator,Dataset,Type,Acc,EBOP,HLS LUTs TOTAL,HLS LUTs CORE,FINAL LUTS,HLS FF TOTAL,HLS FF CORE,FINAL FF,HLS DSP TOTAL,FINAL DSP,HLS BRAM TOTAL,HLS BRAM CORE,BRAM FINAL
"model_Training_FixedHP_acc=0,9707_ebops=52735",MNIST (52735),MNIST,"HGQ2, latency",0.9707,52735,55985,48712,21858,11828,8569,20563,0,0,59,39,14
"model_Training_AdaptiveHP_acc=0,9578_ebops=34304",MNIST (34304),MNIST,"HGQ2, latency",0.9578,34304,38608,31385,16855,9272,5981,17921,0,0,46,35,12
"model_Training_FixedHP_acc=0,7659_ebops=21624",Jet-tagger (21624),JET,"HGQ2, latency",0.7659,21624,60913,46268,28159,11322,6882,21814,10,10,26,0,7.5
"model_Training_AdaptiveHP_acc=0,7573_ebops=11698",Pixsplit (11698),Pix,"HGQ2, latency",0.7573,11698,77564,35662,29016,14512,6052,21212,2,2,62,0,17.5
"model_Training_FixedHP_acc=0,7590_ebops=11634",Jet-tagger (11634),JET,"HGQ2, latency",0.759,11634,43033,28423,21018,8805,4374,19072,15,15,26,0,7.5
"model_Training_AdaptiveHP_acc=0,7449_ebops=3640",Pixsplit (3640),Pix,"HGQ2, DA",0.7449,3640,60965,19074,23787,12527,4072,18533,0,0,59,0,16
"model_Training_AdaptiveHP_acc=0,7512_ebops=2895",Jet-tagger (2895),JET,"HGQ2, latency",0.7512,2895,26400,11863,13982,7258,2861,16820,0,0,22,0,8
"model_Training_AdaptiveHP_acc=0,7426_ebops=1001",Jet-tagger (1001),JET,"HGQ2, Latency",0.7426,1001,22547,8095,12119,6595,2207,15519,0,0,22,0,6
"model_Training_AdaptiveHP_acc=0,7084_ebops=865",Pixsplit (864),Pix,"HGQ2, latency",0.7084,864,54845,13309,16559,11683,3238,16407,0,0,59,0,12
"model_Training_AdaptiveHP_acc=0,7117_ebops=303",Jet-tagger (303),JET,HGQ2,0.7117,303,20288,6076,10861,6169,1707,14937,0,0,15,0,5.5
